201.7582879;19.7294371479;roi; 
283.170625563;81.8235929921;roi; 
107.927119069;54.2261903947;roi; 
179.680365823;108.04112546;roi; 
44.4530930953;139.778138447;roi; 
105.16737881;188.073592992;roi; 
20.9953008875;233.609307278;roi; 
81.7095866018;297.083333252;roi; 
32.0342619264;321.920995589;roi; 
116.206339849;406.093073512;roi; 
116.206339849;396.433982602;roi; 
189.339456732;475.086580005;roi; 
226.595950238;433.690476109;roi; 
292.829716472;487.505411174;roi; 
335.605690498;406.093073512;roi; 
388.040755433;453.008657927;roi; 
385.281015173;308.122294291;roi; 
459.794002186;381.255411174;roi; 
419.77776842;218.430735849;roi; 
481.871924264;273.625541044;roi; 
389.420625563;116.320346239;roi; 
452.894651537;167.375541044;roi; 
323.186859329;41.8073592258;roi; 
372.862184004;108.04112546;roi; 
