238.185881255;41.7487811137;roi; 
273.36800046;86.3127987737;roi; 
137.330472866;62.8580526369;roi; 
188.930914367;123.840392593;roi; 
320.277492734;67.5490018643;roi; 
376.568883462;128.53134182;roi; 
383.605307303;142.604189502;roi; 
449.278596486;198.895580231;roi; 
409.405528054;236.42317405;roi; 
482.115241078;280.98719171;roi; 
381.25983269;332.587633211;roi; 
456.315020328;386.533549326;roi; 
315.586543506;393.569973167;roi; 
376.568883462;463.934211577;roi; 
228.8039828;407.642820849;roi; 
273.36800046;482.698008487;roi; 
123.257625184;388.879023939;roi; 
186.585439754;449.861363895;roi; 
52.8933867735;320.860260142;roi; 
123.257625184;374.806176257;roi; 
36.4750644776;227.041275595;roi; 
102.148353661;273.950767869;roi; 
64.6207598419;133.222291047;roi; 
130.294049025;187.168207162;roi; 
